year,institute_type,pool,opening_rank,closing_rank,institute_short,program_name,program_duration,degree_short,category
2018,IIT,Male,859,1226,IIT-Kharagpur,Electronics and Communication Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,407,853,IIT-Kharagpur,Electronics and Communication Engineering,4,B.Tech,SC
2018,IIT,Male,537,801,IIT-Kharagpur,Electronics and Communication Engineering,4,B.Tech,ST
2018,IIT,Male,155,155,IIT-Kharagpur,Electronics and Communication Engineering,4,B.Tech,GEN
2018,IIT,Male,2420,3759,IIT-Kharagpur,Electronics and Communication Engineering,4,B.Tech,GEN
2018,IIT,Male,1343,1952,IIT-Kharagpur,Electronics and Communication Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,729,1315,IIT-Kharagpur,Electronics and Communication Engineering,4,B.Tech,SC
2018,IIT,Male,679,767,IIT-Kharagpur,Electronics and Communication Engineering,4,B.Tech,ST
2018,IIT,Male,39,39,IIT-Kharagpur,Electronics and Communication Engineering,4,B.Tech,GEN
2018,IIT,Male,1134,1560,IIT-Kharagpur,Computer Science and Engineering,4,B.Tech,SC
2018,IIT,Male,3847,4436,IIT-Kharagpur,Artificial Intelligence and Data Science,4,B.Tech,GEN
2018,IIT,Male,1579,2245,IIT-Kharagpur,Artificial Intelligence and Data Science,4,B.Tech,OBC-NCL
2018,IIT,Male,1416,1478,IIT-Kharagpur,Artificial Intelligence and Data Science,4,B.Tech,SC
2018,IIT,Male,869,869,IIT-Kharagpur,Artificial Intelligence and Data Science,4,B.Tech,ST
2018,IIT,Male,1043,1386,IIT-Kharagpur,Information Technology,4,B.Tech,GEN
2018,IIT,Male,492,848,IIT-Kharagpur,Information Technology,4,B.Tech,OBC-NCL
2018,IIT,Male,502,730,IIT-Kharagpur,Information Technology,4,B.Tech,SC
2018,IIT,Male,479,823,IIT-Kharagpur,Information Technology,4,B.Tech,ST
2018,IIT,Male,95,95,IIT-Kharagpur,Information Technology,4,B.Tech,GEN
2018,IIT,Male,622,1560,IIT-Kharagpur,Mechanical Engineering,4,B.Tech,GEN
2018,IIT,Male,347,624,IIT-Kharagpur,Mechanical Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,88,277,IIT-Kharagpur,Mechanical Engineering,4,B.Tech,SC
2018,IIT,Male,54,198,IIT-Kharagpur,Mechanical Engineering,4,B.Tech,ST
2018,IIT,Male,71,71,IIT-Kharagpur,Mechanical Engineering,4,B.Tech,GEN
